title,star
肖申克的救赎,9.7
霸王别姬,9.6
阿甘正传,9.5
这个杀手不太冷,9.4
泰坦尼克号,9.4
美丽人生,9.6
千与千寻,9.4
辛德勒的名单,9.5
盗梦空间,9.3
忠犬八公的故事,9.4
星际穿越,9.3
楚门的世界,9.3
海上钢琴师,9.3
三傻大闹宝莱坞,9.2
机器人总动员,9.3
放牛班的春天,9.3
无间道,9.3
疯狂动物城,9.2
大话西游之大圣娶亲,9.2
熔炉,9.3
教父,9.3
当幸福来敲门,9.1
龙猫,9.2
怦然心动,9.1
控方证人,9.6
